id_item_pedido,id_pedido,id_produto,quantidade,preco_unitario_venda
1,1001,197,2,261.23
2,1002,486,1,416.34
3,1002,371,3,88.48
4,1002,240,1,48.99
5,1003,338,1,245.25
6,1003,316,1,227.06
7,1003,393,2,128.37
8,1003,396,2,185.05
9,1004,257,1,194.4
10,1005,231,2,303.46
11,1005,299,2,383.32
12,1005,251,1,279.29
13,1006,457,3,52.8
14,1006,323,1,302.31
15,1006,187,3,189.79
16,1006,107,1,81.0
17,1007,432,2,181.81
18,1008,337,3,290.98
19,1008,246,3,364.01
20,1008,400,1,119.69
21,1009,310,3,248.62
22,1010,184,2,85.38
23,1010,475,3,354.52
24,1011,452,3,144.23
25,1012,147,2,466.37
26,1013,153,1,143.73
27,1013,419,2,150.84
28,1013,273,2,33.15
29,1013,139,3,68.19
30,1013,121,2,139.28
31,1014,255,3,364.42
32,1014,458,2,110.59
33,1014,462,3,300.83
34,1014,226,2,330.18
35,1014,497,1,188.25
36,1015,204,3,413.31
37,1015,187,3,159.71
38,1015,342,3,113.72
39,1015,308,3,183.28
40,1015,385,1,283.98
41,1016,171,2,297.76
42,1017,241,3,105.87
43,1017,465,2,379.85
44,1017,143,2,114.36
45,1017,167,3,237.33
46,1018,369,2,103.19
47,1019,405,2,210.16
48,1019,470,1,207.12
49,1019,396,1,242.3
50,1019,314,1,212.11
51,1019,306,2,228.82
52,1020,153,3,134.33
53,1021,131,3,117.9
54,1021,256,1,344.21
55,1022,351,1,22.41
56,1022,495,3,62.97
57,1022,380,3,104.26
58,1023,224,2,61.61
59,1023,443,2,235.61
60,1024,446,3,321.49
61,1024,103,1,332.63
62,1024,387,1,47.41
63,1024,275,1,114.34
64,1024,149,1,483.54
65,1025,116,3,98.08
66,1025,487,1,311.64
67,1025,393,3,160.31
68,1025,310,3,233.24
69,1025,473,1,132.05
70,1026,285,3,144.8
71,1026,382,1,257.02
72,1026,432,2,167.01
73,1026,310,2,233.51
74,1027,169,1,340.7
75,1027,101,1,451.7
76,1027,482,2,100.98
77,1027,488,3,58.79
78,1027,111,2,388.35
79,1028,350,3,295.76
80,1028,371,3,81.01
81,1029,466,3,315.43
82,1029,485,3,95.24
83,1029,119,2,327.41
84,1029,486,3,443.99
85,1030,221,2,190.26
86,1030,405,1,171.52
87,1030,455,2,288.48
88,1030,256,3,382.73
89,1030,310,3,251.56
90,1031,278,1,63.43
91,1031,247,3,132.79
92,1031,275,2,109.13
93,1031,169,2,380.24
94,1032,447,2,108.96
95,1032,407,3,324.68
96,1032,153,2,126.65
97,1033,356,2,278.9
98,1033,102,1,352.58
99,1033,271,1,332.51
100,1034,196,2,316.73
101,1035,414,1,480.61
102,1035,165,3,412.64
103,1035,231,2,352.68
104,1035,291,2,285.97
105,1036,414,3,377.8
106,1037,486,2,344.32
107,1037,121,3,167.2
108,1037,272,1,316.65
109,1037,276,1,89.46
110,1038,339,2,148.4
111,1038,289,1,127.51
112,1038,463,3,241.86
113,1039,404,1,364.56
114,1039,284,1,314.88
115,1039,493,2,281.01
116,1039,207,1,458.92
117,1039,323,1,329.54
118,1040,167,1,255.21
119,1040,282,3,318.25
120,1040,496,3,384.47
121,1041,213,2,317.37
122,1041,196,2,346.82
123,1042,153,1,168.13
124,1042,218,3,178.68
125,1043,104,3,386.05
126,1044,173,3,250.89
127,1044,118,1,341.88
128,1044,106,2,307.26
129,1045,490,1,311.52
130,1045,424,3,332.81
131,1046,208,3,370.29
132,1046,305,3,222.06
133,1046,143,1,120.77
134,1046,350,3,313.2
135,1046,107,2,79.61
136,1047,152,3,283.9
137,1047,464,3,261.43
138,1047,486,3,357.51
139,1047,345,2,170.92
140,1048,377,1,356.39
141,1048,435,3,386.94
142,1048,290,3,85.38
143,1048,255,3,298.72
144,1049,150,2,426.02
145,1049,457,3,56.77
146,1050,418,3,424.62
147,1050,249,1,292.26
148,1050,466,1,331.94
149,1050,331,1,383.97
150,1051,320,3,325.48
151,1051,416,1,264.17
152,1051,168,3,337.46
153,1051,210,3,259.06
154,1051,120,1,234.64
155,1052,411,2,349.13
156,1052,447,3,94.58
157,1052,212,3,330.53
158,1052,456,2,88.43
159,1052,185,1,253.64
160,1053,488,3,53.84
161,1053,316,2,228.19
162,1053,500,1,279.23
163,1054,166,2,176.44
164,1055,323,3,283.83
165,1055,308,3,171.72
166,1055,119,2,347.36
167,1055,215,2,219.82
168,1056,148,2,223.15
169,1056,396,3,210.98
170,1056,227,1,177.85
171,1056,284,3,291.68
172,1057,219,3,303.78
173,1058,176,2,60.41
174,1058,179,1,395.76
175,1058,390,2,288.51
176,1059,252,1,281.41
177,1059,313,1,285.13
178,1059,232,3,438.91
179,1059,406,2,332.7
180,1060,389,2,214.75
181,1060,481,2,422.62
182,1060,323,3,283.45
183,1060,202,1,177.58
184,1060,363,2,342.45
185,1061,177,3,330.62
186,1062,440,1,64.31
187,1063,205,2,208.04
188,1063,214,3,166.19
189,1063,186,2,209.6
190,1063,437,2,430.92
191,1064,188,3,168.61
192,1064,359,2,133.41
193,1065,407,1,297.47
194,1065,301,1,146.53
195,1066,164,1,387.3
196,1066,255,3,336.05
197,1066,303,3,88.94
198,1066,112,3,323.49
199,1066,482,1,88.71
200,1067,487,2,272.52
201,1067,386,3,130.11
202,1067,202,3,177.63
203,1068,415,2,243.06
204,1068,244,1,155.06
205,1068,321,1,234.73
206,1069,444,1,78.78
207,1069,354,1,160.85
208,1069,250,3,154.18
209,1069,288,3,346.9
210,1069,156,1,437.0
211,1070,227,3,196.3
212,1070,323,3,264.16
213,1070,231,2,283.41
214,1070,453,1,208.01
215,1071,130,3,180.7
216,1071,465,2,375.76
217,1071,394,1,127.79
218,1071,300,2,306.36
219,1071,145,3,430.2
220,1072,256,3,381.52
221,1072,147,3,393.91
222,1072,486,3,381.08
223,1072,328,2,450.83
224,1072,236,2,220.56
225,1073,361,2,392.71
226,1073,358,1,81.32
227,1073,483,2,323.48
228,1073,223,1,137.95
229,1074,431,3,131.41
230,1074,300,2,301.38
231,1074,412,3,195.93
232,1074,214,2,164.16
233,1074,219,2,312.28
234,1075,405,2,203.46
235,1075,158,1,40.11
236,1075,452,2,171.16
237,1075,221,3,193.81
238,1076,367,3,187.06
239,1077,259,2,205.72
240,1077,296,2,188.66
241,1077,254,3,296.08
242,1078,345,2,190.22
243,1078,242,2,282.35
244,1079,163,3,75.53
245,1079,142,2,308.78
246,1079,191,1,356.44
247,1079,123,1,319.45
248,1079,449,2,122.14
249,1080,383,2,228.17
250,1080,465,3,382.87
251,1080,389,3,234.42
252,1081,163,2,81.96
253,1081,214,1,199.95
254,1081,168,3,420.49
255,1082,101,1,361.77
256,1082,364,2,335.99
257,1082,493,1,325.54
258,1082,274,2,34.44
259,1083,106,1,229.46
260,1083,116,1,130.62
261,1083,251,2,276.96
262,1083,149,3,482.63
263,1083,292,3,445.93
264,1084,407,2,278.9
265,1085,160,1,27.21
266,1085,421,3,247.06
267,1085,283,2,131.17
268,1085,149,3,375.35
269,1085,404,1,278.59
270,1086,311,3,230.07
271,1086,357,2,281.56
272,1086,353,1,37.24
273,1086,375,1,347.04
274,1086,413,1,193.55
275,1087,463,1,199.32
276,1087,386,3,114.42
277,1088,109,2,298.77
278,1088,460,1,279.32
279,1088,143,1,96.28
280,1089,207,1,467.79
281,1089,200,2,387.15
282,1090,170,1,197.15
283,1090,496,2,407.96
284,1091,210,2,251.89
285,1092,342,2,113.56
286,1093,279,2,110.32
287,1093,330,2,390.21
288,1093,299,2,448.64
289,1093,454,1,239.83
290,1093,480,1,177.78
291,1094,131,2,112.38
292,1094,290,1,83.3
293,1095,445,1,90.97
294,1095,161,3,70.69
295,1095,430,1,286.92
296,1095,163,3,75.88
