id_pedido,id_cliente,data_pedido,valor_total_pedido,status_pedido
1001,997,2024-03-04 08:28:00,522.46,Entregue
1002,333,2024-04-27 22:40:00,730.77,Enviado
1003,813,2024-02-11 06:35:00,1099.15,Entregue
1004,561,2024-06-14 10:47:00,194.4,Entregue
1005,357,2024-02-14 15:54:00,1652.85,Processando
1006,361,2024-06-06 17:47:00,1111.08,Entregue
1007,990,2024-02-28 10:53:00,363.62,Enviado
1008,937,2024-01-24 20:25:00,2084.66,Enviado
1009,510,2024-06-12 05:48:00,745.86,Enviado
1010,272,2024-05-04 11:21:00,1234.32,Entregue
1011,918,2024-04-02 05:10:00,432.69,Enviado
1012,115,2024-02-18 18:19:00,932.74,Entregue
1013,718,2024-06-13 17:18:00,994.84,Entregue
1014,552,2024-02-15 12:39:00,3065.54,Entregue
1015,204,2024-01-24 02:45:00,2894.04,Entregue
1016,898,2024-06-18 12:54:00,595.52,Enviado
1017,734,2024-03-28 17:22:00,2018.02,Enviado
1018,944,2024-04-08 03:54:00,206.38,Entregue
1019,835,2024-03-16 19:36:00,1539.49,Entregue
1020,332,2024-02-27 14:52:00,402.99,Processando
1021,562,2024-02-09 21:17:00,697.91,Processando
1022,230,2024-06-26 07:15:00,524.1,Entregue
1023,451,2024-06-14 06:09:00,594.44,Processando
1024,250,2024-01-06 19:30:00,1942.39,Entregue
1025,425,2024-05-22 17:36:00,1918.58,Enviado
1026,191,2024-05-12 18:25:00,1492.46,Entregue
1027,910,2024-04-09 23:16:00,1947.43,Entregue
1028,373,2024-03-08 13:23:00,1130.31,Enviado
1029,948,2024-03-01 10:34:00,3218.8,Enviado
1030,982,2024-06-26 04:20:00,3031.87,Entregue
1031,720,2024-03-04 17:37:00,1440.54,Enviado
1032,940,2024-05-09 22:30:00,1445.26,Entregue
1033,108,2024-06-03 07:46:00,1242.89,Enviado
1034,719,2024-06-14 17:52:00,633.46,Entregue
1035,477,2024-03-09 18:53:00,2995.83,Processando
1036,634,2024-04-22 15:37:00,1133.4,Entregue
1037,977,2024-02-13 00:35:00,1596.35,Entregue
1038,666,2024-01-15 11:30:00,1149.89,Entregue
1039,152,2024-01-17 21:22:00,2029.92,Processando
1040,737,2024-03-11 18:16:00,2363.37,Entregue
1041,746,2024-01-08 22:38:00,1328.38,Entregue
1042,722,2024-02-04 12:13:00,704.17,Entregue
1043,318,2024-05-17 22:43:00,1158.15,Enviado
1044,239,2024-05-25 16:26:00,1709.07,Enviado
1045,553,2024-06-23 18:20:00,1309.95,Entregue
1046,995,2024-06-05 01:45:00,2996.64,Entregue
1047,602,2024-01-31 02:39:00,3050.36,Processando
1048,424,2024-02-11 23:12:00,2669.51,Enviado
1049,616,2024-02-15 05:01:00,1022.35,Entregue
1050,507,2024-01-31 10:05:00,2282.03,Processando
1051,414,2024-05-26 22:43:00,3264.81,Enviado
1052,418,2024-04-07 22:30:00,2404.09,Enviado
1053,352,2024-02-16 03:19:00,897.13,Enviado
1054,725,2024-04-20 08:31:00,352.88,Processando
1055,267,2024-04-12 06:14:00,2501.01,Enviado
1056,663,2024-06-11 02:21:00,2132.13,Entregue
1057,97,2024-05-14 08:01:00,911.34,Entregue
1058,63,2024-05-22 01:43:00,1093.6,Enviado
1059,173,2024-01-01 16:00:00,2548.67,Processando
1060,394,2024-03-19 00:51:00,2987.57,Entregue
1061,577,2024-04-05 02:11:00,991.86,Enviado
1062,636,2024-05-07 05:34:00,64.31,Enviado
1063,354,2024-01-25 21:58:00,2195.69,Enviado
1064,384,2024-05-26 05:57:00,772.65,Entregue
1065,867,2024-02-15 16:09:00,444.0,Entregue
1066,456,2024-01-08 19:02:00,2721.45,Entregue
1067,910,2024-01-31 09:59:00,1468.26,Enviado
1068,358,2024-06-23 05:37:00,875.91,Entregue
1069,922,2024-01-26 15:12:00,2179.87,Entregue
1070,628,2024-03-27 14:59:00,2156.21,Entregue
1071,852,2024-04-09 14:07:00,3324.73,Entregue
1072,68,2024-03-27 07:23:00,4812.31,Enviado
1073,984,2024-05-05 06:50:00,1651.65,Entregue
1074,367,2024-01-16 15:51:00,2537.66,Entregue
1075,676,2024-05-31 03:54:00,1370.78,Entregue
1076,680,2024-06-16 10:58:00,561.18,Entregue
1077,589,2024-06-28 17:33:00,1677.0,Enviado
1078,560,2024-06-13 06:18:00,945.14,Enviado
1079,459,2024-02-20 09:40:00,1764.32,Entregue
1080,446,2024-04-06 02:31:00,2308.21,Processando
1081,107,2024-03-23 17:30:00,1625.34,Entregue
1082,314,2024-05-07 09:49:00,1428.17,Entregue
1083,57,2024-05-15 01:12:00,3699.68,Entregue
1084,315,2024-05-30 23:57:00,557.8,Entregue
1085,178,2024-06-13 10:47:00,2435.37,Processando
1086,29,2024-01-13 09:24:00,1831.16,Enviado
1087,988,2024-05-17 01:52:00,542.58,Entregue
1088,895,2024-04-21 23:32:00,973.14,Entregue
1089,183,2024-05-10 11:43:00,1242.09,Entregue
1090,933,2024-02-24 03:29:00,1013.07,Entregue
1091,914,2024-02-26 22:20:00,503.78,Processando
1092,209,2024-05-06 06:36:00,227.12,Entregue
1093,16,2024-01-12 12:13:00,2315.95,Entregue
1094,120,2024-03-15 00:57:00,308.06,Enviado
1095,834,2024-03-25 05:24:00,817.6,Entregue
1096,381,2024-04-12 01:09:00,448.04,Enviado
1097,253,2024-06-08 21:16:00,1304.24,Entregue
1098,433,2024-06-23 18:45:00,298.48,Entregue
1099,642,2024-03-20 06:56:00,3221.45,Entregue
1100,936,2024-03-10 13:44:00,1164.73,Processando
1101,844,2024-04-15 12:17:00,329.92,Entregue
1102,195,2024-05-04 08:38:00,2915.96,Processando
1103,710,2024-04-11 01:44:00,2251.57,Entregue
1104,132,2024-06-18 22:14:00,3129.62,Processando
1105,118,2024-01-30 05:57:00,738.44,Entregue
1106,69,2024-02-16 17:20:00,2249.84,Enviado
1107,758,2024-03-06 21:45:00,1707.7,Entregue
1108,408,2024-03-13 17:18:00,2402.15,Enviado
1109,584,2024-03-07 03:48:00,1173.99,Enviado
1110,843,2024-02-21 02:35:00,2690.34,Entregue
1111,206,2024-02-02 16:02:00,1844.43,Entregue
1112,112,2024-01-29 07:02:00,564.14,Entregue
1113,189,2024-01-22 22:51:00,623.12,Processando
1114,447,2024-06-06 11:28:00,1800.69,Entregue
1115,453,2024-06-01 01:42:00,2184.6,Entregue
1116,786,2024-02-18 06:46:00,995.73,Enviado
1117,583,2024-01-04 04:21:00,2052.65,Entregue
1118,257,2024-02-14 11:29:00,2161.83,Enviado
1119,660,2024-01-15 12:24:00,330.23,Enviado
1120,299,2024-05-09 02:14:00,743.96,Enviado
1121,200,2024-03-26 21:46:00,1646.13,Entregue
1122,893,2024-04-22 02:53:00,810.16,Enviado
1123,542,2024-03-14 17:10:00,1837.17,Enviado
1124,988,2024-03-22 01:07:00,313.44,Entregue
1125,420,2024-05-12 17:01:00,489.17,Entregue
1126,174,2024-03-23 11:02:00,2060.92,Enviado
1127,107,2024-06-24 07:00:00,632.35,Enviado
1128,577,2024-01-15 12:49:00,1305.54,Entregue
1129,878,2024-02-27 20:02:00,2009.93,Entregue
1130,76,2024-01-06 20:52:00,1460.46,Entregue
1131,960,2024-05-26 20:24:00,2588.45,Enviado
1132,631,2024-04-09 14:58:00,623.95,Entregue
1133,700,2024-05-05 19:16:00,1078.81,Enviado
1134,652,2024-04-26 15:58:00,308.01,Entregue
1135,466,2024-05-17 11:14:00,753.93,Enviado
1136,653,2024-02-14 12:16:00,388.82,Entregue
1137,377,2024-01-06 13:51:00,2811.74,Enviado
1138,44,2024-04-27 13:45:00,1745.38,Entregue
1139,873,2024-02-28 12:08:00,3225.22,Entregue
1140,362,2024-02-23 12:26:00,2010.41,Entregue
1141,472,2024-04-25 14:24:00,2386.7,Entregue
1142,346,2024-03-24 21:25:00,2586.45,Enviado
1143,543,2024-02-22 07:13:00,2719.13,Entregue
1144,583,2024-02-19 23:42:00,1625.11,Entregue
1145,373,2024-04-28 17:55:00,1031.89,Entregue
1146,419,2024-04-05 20:19:00,1767.51,Enviado
1147,145,2024-04-30 03:34:00,1428.66,Entregue
1148,308,2024-06-08 13:03:00,896.37,Enviado
1149,346,2024-05-21 05:42:00,2799.05,Enviado
1150,530,2024-04-20 05:28:00,1811.33,Processando
1151,212,2024-04-08 18:42:00,2531.29,Enviado
1152,764,2024-06-23 18:49:00,1798.35,Enviado
1153,412,2024-05-27 06:09:00,2222.17,Entregue
1154,480,2024-03-03 23:08:00,2306.38,Entregue
1155,499,2024-03-21 19:59:00,2692.27,Entregue
1156,544,2024-06-09 01:43:00,2109.04,Processando
1157,67,2024-01-22 00:00:00,783.02,Entregue
1158,891,2024-01-14 10:54:00,1124.56,Processando
1159,954,2024-04-01 06:47:00,160.7,Enviado
1160,219,2024-03-19 02:23:00,559.59,Entregue
1161,324,2024-05-29 14:30:00,2989.74,Enviado
1162,180,2024-03-15 09:06:00,1500.81,Entregue
1163,164,2024-02-08 05:26:00,340.53,Enviado
1164,933,2024-06-07 13:10:00,414.93,Entregue
1165,644,2024-04-30 22:17:00,2398.34,Entregue
1166,926,2024-03-04 03:42:00,1890.84,Entregue
1167,932,2024-04-23 03:48:00,1014.22,Processando
1168,902,2024-04-07 15:24:00,2276.66,Entregue
1169,786,2024-01-06 18:44:00,1184.04,Entregue
1170,372,2024-04-22 18:36:00,2026.85,Enviado
1171,916,2024-01-06 15:42:00,1848.57,Entregue
1172,907,2024-03-27 02:56:00,1964.48,Enviado
1173,182,2024-02-04 19:19:00,1281.88,Entregue
1174,939,2024-02-08 03:59:00,2045.61,Entregue
1175,685,2024-02-20 20:20:00,1793.12,Enviado
1176,812,2024-01-22 11:38:00,1387.5,Entregue
1177,507,2024-01-05 19:57:00,2844.72,Entregue
1178,174,2024-04-03 08:12:00,866.27,Entregue
1179,533,2024-01-07 15:20:00,1664.56,Entregue
1180,54,2024-06-15 07:44:00,1154.13,Enviado
1181,460,2024-04-20 10:02:00,1689.05,Enviado
1182,778,2024-06-17 14:42:00,755.88,Processando
1183,565,2024-01-09 04:55:00,1043.61,Entregue
1184,640,2024-01-03 23:36:00,706.23,Processando
1185,390,2024-02-21 15:24:00,254.89,Enviado
1186,712,2024-06-21 08:44:00,2327.28,Enviado
1187,376,2024-05-11 13:26:00,2605.61,Entregue
1188,136,2024-03-29 23:16:00,2029.03,Entregue
1189,501,2024-03-13 08:05:00,1338.99,Entregue
1190,941,2024-06-20 02:51:00,1915.86,Entregue
1191,327,2024-05-10 03:01:00,1023.81,Entregue
1192,826,2024-01-28 07:04:00,1685.86,Enviado
1193,67,2024-02-09 18:51:00,1220.1,Enviado
1194,90,2024-01-20 00:46:00,1754.5,Processando
1195,827,2024-03-28 19:04:00,842.88,Enviado
1196,642,2024-04-27 20:55:00,2431.65,Enviado
1197,681,2024-01-28 19:07:00,312.6,Processando
1198,143,2024-02-21 23:59:00,1610.55,Processando
1199,94,2024-01-24 00:27:00,1407.16,Entregue
1200,239,2024-02-23 01:45:00,751.93,Processando
1201,329,2024-06-09 16:12:00,851.69,Entregue
1202,203,2024-05-06 19:45:00,934.55,Enviado
1203,295,2024-06-22 18:55:00,652.23,Entregue
1204,454,2024-02-17 16:00:00,2533.74,Processando
1205,998,2024-02-20 08:09:00,3040.11,Entregue
1206,590,2024-02-18 22:07:00,988.52,Entregue
1207,78,2024-02-18 05:54:00,494.69,Enviado
1208,234,2024-02-11 12:40:00,2260.06,Entregue
1209,304,2024-06-02 13:32:00,1202.7,Entregue
1210,224,2024-04-19 08:52:00,2503.23,Enviado
1211,247,2024-05-15 00:41:00,850.51,Entregue
1212,700,2024-03-05 09:48:00,666.05,Enviado
1213,64,2024-01-17 15:22:00,448.95,Entregue
1214,62,2024-06-07 13:05:00,3584.52,Entregue
1215,921,2024-04-24 00:47:00,1046.44,Entregue
1216,327,2024-05-30 11:44:00,3265.01,Entregue
1217,695,2024-01-17 18:16:00,1173.61,Entregue
1218,327,2024-04-25 11:47:00,827.7,Entregue
1219,380,2024-05-07 09:48:00,2433.61,Entregue
1220,560,2024-02-18 07:37:00,954.06,Enviado
1221,708,2024-03-31 13:29:00,915.02,Entregue
1222,333,2024-04-13 14:55:00,1954.27,Entregue
1223,464,2024-02-09 04:47:00,1254.87,Entregue
1224,430,2024-01-07 04:50:00,1848.39,Enviado
1225,892,2024-06-10 04:25:00,941.29,Enviado
1226,445,2024-06-18 05:09:00,939.05,Entregue
1227,189,2024-02-25 03:01:00,874.82,Enviado
1228,154,2024-03-10 10:12:00,576.57,Processando
1229,402,2024-02-10 09:53:00,397.58,Entregue
1230,563,2024-03-12 07:12:00,1191.15,Entregue
1231,742,2024-05-07 13:27:00,632.78,Entregue
1232,164,2024-05-04 21:03:00,213.98,Enviado
1233,109,2024-01-18 10:45:00,2860.7,Entregue
1234,297,2024-02-06 07:33:00,142.48,Entregue
1235,823,2024-02-25 13:31:00,363.8,Processando
1236,316,2024-06-10 05:21:00,152.18,Entregue
1237,701,2024-06-07 13:39:00,2611.68,Enviado
1238,133,2024-05-15 09:21:00,871.44,Entregue
1239,827,2024-06-25 04:23:00,2687.87,Entregue
1240,485,2024-01-17 00:28:00,725.87,Enviado
1241,253,2024-02-23 10:44:00,638.11,Enviado
1242,893,2024-03-21 20:58:00,2192.1,Entregue
1243,488,2024-03-12 17:21:00,143.16,Entregue
1244,340,2024-06-27 06:57:00,2011.45,Enviado
1245,330,2024-06-10 18:58:00,2969.03,Enviado
1246,608,2024-06-05 07:52:00,786.58,Entregue
1247,501,2024-05-24 15:56:00,1434.95,Processando
1248,524,2024-01-25 12:48:00,1284.76,Enviado
1249,330,2024-01-21 16:31:00,2889.48,Entregue
1250,923,2024-03-09 02:28:00,706.46,Enviado
1251,198,2024-03-11 22:09:00,2692.81,Enviado
1252,797,2024-01-16 15:15:00,1398.0,Enviado
1253,4,2024-03-24 11:52:00,1237.71,Entregue
1254,576,2024-02-07 08:20:00,787.4,Entregue
1255,322,2024-06-03 17:12:00,1282.18,Entregue
1256,662,2024-02-18 19:38:00,1093.14,Enviado
1257,752,2024-01-16 23:56:00,1510.52,Enviado
1258,819,2024-05-09 09:15:00,2282.83,Entregue
1259,434,2024-06-28 00:19:00,1449.89,Enviado
1260,148,2024-03-16 00:01:00,465.92,Entregue
1261,781,2024-04-17 02:23:00,1528.53,Entregue
1262,932,2024-02-07 14:40:00,1341.74,Enviado
1263,161,2024-06-01 14:48:00,2038.49,Enviado
1264,960,2024-03-11 14:17:00,214.1,Enviado
1265,622,2024-04-26 09:10:00,202.91,Entregue
1266,331,2024-01-05 03:03:00,2210.98,Entregue
1267,566,2024-05-02 11:09:00,408.9,Enviado
1268,738,2024-04-06 17:01:00,1345.81,Entregue
1269,662,2024-03-23 12:11:00,1390.78,Enviado
1270,857,2024-01-09 20:18:00,2516.69,Enviado
1271,775,2024-05-25 01:56:00,292.91,Entregue
1272,741,2024-02-03 15:04:00,3480.14,Entregue
1273,144,2024-02-08 03:33:00,520.92,Enviado
1274,731,2024-03-01 02:48:00,287.89,Enviado
1275,366,2024-03-27 02:26:00,961.31,Enviado
1276,72,2024-05-06 12:34:00,866.23,Processando
1277,427,2024-06-13 12:44:00,80.45,Enviado
1278,843,2024-01-23 06:28:00,377.92,Enviado
1279,782,2024-03-07 07:15:00,346.13,Processando
1280,700,2024-05-22 00:03:00,676.48,Entregue
1281,715,2024-02-27 15:02:00,1860.44,Processando
1282,777,2024-02-29 04:55:00,561.69,Enviado
1283,328,2024-03-23 12:48:00,1356.4,Entregue
1284,406,2024-01-05 16:48:00,863.56,Enviado
1285,25,2024-06-20 22:44:00,551.04,Entregue
1286,70,2024-01-11 06:37:00,1879.6,Processando
1287,236,2024-05-29 15:00:00,543.06,Enviado
1288,83,2024-05-28 11:32:00,665.43,Entregue
1289,169,2024-04-11 06:09:00,2133.1,Entregue
